elapsed time sensors,current,voltage,acc x (IMU),acc y (IMU),W (IMU),vel encoder,safety_value,throttle,steering,vicon time,vicon x,vicon y,vicon yaw,velocity x,velocity y
2.696235418319702,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.9698093,-4.1883228819881434e-14,-2.487277259360058e-16,-2.63203942789481e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.7064764499664307,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.9798915,-4.204200024109785e-14,-2.4967060583460696e-16,-2.6420169929593762e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.7165603637695312,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.9897776,-4.220077166231427e-14,-2.506134857332081e-16,-2.6519945580239428e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.726447343826294,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316565.9989731,-4.2359543083530685e-14,-2.5155636563180925e-16,-2.6619721230885097e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.7455291748046875,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.0089822,-4.25183145047471e-14,-2.524992455304104e-16,-2.671949688153076e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.755523681640625,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.0189624,-4.267708592596352e-14,-2.5344212542901155e-16,-2.6819272532176424e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.765568494796753,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.029015,-4.2835857347179936e-14,-2.543850053276127e-16,-2.6919048182822086e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.765568494796753,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.0397143,-4.299462876839635e-14,-2.5532788522621384e-16,-2.7018823833467755e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.786404609680176,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.0498064,-4.315340018961277e-14,-2.56270765124815e-16,-2.711859948411342e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.786404609680176,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.0600417,-4.3312171610829187e-14,-2.5721364502341613e-16,-2.7218375134759082e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.8067023754119873,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.0700777,-4.3470943032045604e-14,-2.581565249220173e-16,-2.731815078540475e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.8067023754119873,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.0801177,-4.362971445326202e-14,-2.590994048206184e-16,-2.7417926436050417e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.8263750076293945,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.089718,-4.378848587447844e-14,-2.6004228471921957e-16,-2.751770208669608e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.8263750076293945,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.0999599,-4.3947257295694855e-14,-2.609851646178207e-16,-2.761747773734175e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.8366000652313232,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.1100578,-4.410602871691127e-14,-2.6192804451642186e-16,-2.7717253387987414e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.8467001914978027,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.1199594,-4.426480013812769e-14,-2.62870924415023e-16,-2.7817029038633075e-15,-1.5877141317172452e-14,-9.428798868431468e-17
2.8666393756866455,0.0,0.0,0.0,0.0,-9.977565309875723e-16,-1.5877141317172452e-14,-9.428798868431468e-17,0.0,0.0,0.0,1733316566.1300178,-4.4423571559344105e-14,-2.6381380431362415e-16,-2.7916804689278745e-15,-1.5877141317172452e-14,-9.428798868431468e-17
